skill_name,skill_link,skill_description
speak spell,https://www.amazon.com/Cynthia-Balusek-speak-spell/dp/B072LTXJCT/ref=sr_1_1?dchild=1&qid=1624660566&s=alexa-skills&sr=1-1,"Referencing the original word lists from the original Speak and Spell hardware, this interactive game will test your spelling for a number of commonly misspelled words.  The original four levels are available."
Star Wars: Choose Your Destiny,https://www.amazon.com/Star-Wars-Choose-Your-Destiny/dp/B07LCZGLD7/ref=sr_1_12?dchild=1&qid=1624660566&s=alexa-skills&sr=1-12,"Star Wars: Choose Your Destiny – A Han and Chewie Adventure takes place pre-Episode 4, when Han and Chewie were running smuggling missions. In this adventure, they’re working for Jabba the Hutt. They run into trouble with the Empire as well as some shady characters on a jungle planet. Along the way, you’ll help them make choices. Will they rescue the hostages? Dump the cargo? Or do whatever it takes to save their skins? You can unlock more adventures by purchasing the Pack of 3 Star Wars: Choose Your Destiny adventures. All the adventures are available through Freetime Unlimited subscriptions. The Pack of 3 Star Wars: Choose Your Destiny adventures includes, “A Luke and Leia Adventure,” “A Smuggler Mission,” and “A Podracer Mission.” Copyright © & TM Lucasfilm Ltd. Privacy Policy:  https://privacy.thewaltdisneycompany.com/en/ Children’s Online Privacy Policy: https://privacy.thewaltdisneycompany.com/en/for-parents/childrens-online-privacy-policy/ Do Not Sell My Info: https://privacy.thewaltdisneycompany.com/en/dnsmi/ Terms of Use: https://disneytermsofuse.com/english/"
Amazon Math,https://www.amazon.com/Amazon-Math/dp/B0797Y6HNY/ref=sr_1_6?dchild=1&qid=1624660566&s=alexa-skills&sr=1-6,"The Amazon Math skill offers an easy and fun way for kids to practice math. Kids choose their current grade level from Kindergarten through 5th grade and can choose from a variety of topics, including addition, multiplication, comparing, rounding, and more! Kids complete sets of 5 math problems and can choose to focus on a specific topic or do a mix of topics. Alexa keeps track of scores and progress and can increase or decrease the difficulty of a topic as needed. Alexa can even take turns counting with you, by any number, and will celebrate when you reach counting goals.   Once you're in the skill, you can use the following commands to help you navigate: Repeat/Say it again - Hear the question again Change Topic - Alexa will switch to a different, grade-appropriate topic Harder/Easier- Alexa will move you up or down in difficulty List all Topics - Find out all the different topics you can choose from What's my score? - Get the total score for the session Change Grade - If another user from a different grade wants to play"
Short Bedtime Stories,https://www.amazon.com/AlSummers-Short-Bedtime-Stories/dp/B074WGJXQL/ref=sr_1_11?dchild=1&qid=1624660566&s=alexa-skills&sr=1-11,"Welcome to Short Bedtime Stories by Al Summers Media. This skills offers a selection of short bedtime sleep stories. Want to launch the skill? Just say: ""Alexa, open bedtime stories and list all stories"" or ""Alexa, open bedtime stories and play all stories"". At the moment the skill offers the following bedtime stories:  1) Tyler meets Santa 2) Joy teaches kindness 3) Danny's ocean adventure 4) Jessica bakes cake 5) Dental heroes 6) Alfi blows bubbles 7) Goldilocks and three bears 8) Little Pirate Joe 9) Cinderella  10) My Travelling Adventures  (kids decide how the story develops) 11) Halloween Treasure Hunt  ✶✶✶✶✶✶✶✶BRAND NEW✶✶✶✶✶✶✶✶ Play a personalised children's story - ask for example ""play personalised story"" or ""play my personal story"". Please be aware that only English names can processed... NEW FEATURES: ► say ""spin the wheel"" to play a random bedtime story ► say ""Alexa Next"" to skip a story ► say""Alexa Repeat"" to repeat a story ► say ""Alexa Previous"" to go back to the previous story Please leave a rating if you love this skill. Please report bugs via our website. We welcome your feedback!"
No Way That's True,https://www.amazon.com/Nickelodeon-No-Way-Thats-True/dp/B079Q4DPBR/ref=sr_1_10?dchild=1&qid=1624660566&s=alexa-skills&sr=1-10,"Did you know that a blue whale's heart weighs 400 pounds? Test your knowledge of wild and weird facts about animals, people, places and more in Nickelodeon’s No Way That’s True skill on Alexa! Go head-to-head with up to 4 players in this crazy trivia game that zips you around the globe. Along the way you’ll encounter SpongeBob, Lincoln Loud, and more of your favorite Nickelodeon characters, visit some of the world's most amazing places, and learn crazy facts about the planet we all call home. It's the game that will have you saying, ""No way that's true!"" To enable the skill, simply say ""Alexa, open No Way That’s True.” To quit, just say ""Alexa, quit"" anytime during the game. The No Way That’s True skill is for kids and fans aged 6+.  No Way That's True is also part of a FreeTime Unlimited Subscription.  For more information on FreeTime Unlimted, go to https://www.amazon.com/freetimeunlimited.” For issues, questions, or comments please email us at amazonalexa@nick.com.  We want to hear directly from you! ---------------------------------------------------------------------------------------------------------------------------------------- The No Way That’s True Alexa Skill collects personal user data as well as non-personal user data (including aggregated data). User data collection is in accordance with applicable law, such as COPPA. User data may be used, for example, to respond to user requests; enable users to take advantage of certain features and services; customize the user experience and content; and manage and improve Nickelodeon's services. For more information regarding Nickelodeon’s use of data, please visit the Nickelodeon Group Privacy Policy below. Our Privacy Policy is in addition to any terms, conditions or policies agreed to between you and Amazon.com, Inc., and Nickelodeon and its affiliated entities, including Earplay, Inc. are not responsible for Amazon's collection or use of your personal user data and information. Use of this skill is subject to the Nickelodeon End User License Agreement. No Way That’s True Alexa Skill may include the use of anonymous persistent identifiers for skill management purposes and enabling this skill constitutes your permission to such usage of anonymous persistent identifiers for all users on your device. Disabling this skill will a) permanently disable use of a previous anonymous persistent identifier, and b) disconnect all user experience data from the previously related account managed by Amazon. End User License Agreement: http://www.nick.com/nick-eula/ Privacy Policy: http://www.nick.com/privacy-policy/ The End User License Agreement for this app includes arbitration for disputes – see FAQs: http://www.nick.com/faqs/ Skill description updated as of 07/11/2019"
Bamboo Learning,https://www.amazon.com/Bamboo-Learning-Inc/dp/B094DQLS8J/ref=sr_1_7?dchild=1&qid=1624660566&s=alexa-skills&sr=1-7,"Bamboo Learning is the 1st comprehensive learning program for children in grades K–5 on Alexa. With up to 6 users per family, Bamboo Learning brings together all of the great exercises and content from our award-winning Alexa skills—Bamboo Math, Bamboo Books & Bamboo English—in a fun game-like experience. Bamboo Learning reflects standard US K–5 curriculum. Bamboo Learning includes math, phonics, spelling, grammar, vocabulary, listening comprehension with 20 free and 30 subscription-based audiobooks (with more added each month). Bamboo Learning now includes a human-narrated Panda to welcome kids to Bamboo Learning each day, praise them for correct answers, and gently nudge them to try again, if they're incorrect. Panda also celebrates their accomplishments; children earn Bamboo tokens (complete with sound effects), which keeps kids interested in returning to learn more using Bamboo Learning’s self-paced activities. Images and text are available for Echo Show & Fire TV products. BOOKS & LISTENING COMPREHENSION Bamboo Learning offers 20 free and 30 subscription-based books for kids to listen to and follow along with words and pictures on screen-based Alexa devices like Echo Show and Fire TV. New books will be added each month as part of the Bamboo Learning Plus subscription. Please see ""What's New"" section or our website for a full list of books. Bamboo Learning listening comprehension exercises incorporate questions into 50 narrated books (as of May 2021) for grades K–5. These exercises help children improve their ability to understand elements of the books, including characters, plot, and details. Listening skills are key to improving reading and writing. On screen-based Alexa devices, text and pictures enhance the experience.  LANGUAGE ARTS Bamboo Learning Language Arts program follows the curriculum used in the majority of elementary schools throughout the US, including thousands of phonics, spelling, grammar, and vocabulary exercises in the form of word games. Examples include: Phonics: Which word rhymes with BOUNCE – ANNOUNCE or BEHIND? (Grade 2) Spelling: In the word CAT, is the last letter T? (Grade 1) Grammar: This movie is exciting. Which word is an adjective? (Grade 3) Vocabulary: If you add the letters -ER at the end of the word PAINT, what word do you get? (Grade 2) MATH Bamboo Learning Math offers tens of millions of math problems for kids in grades K–5, with 3 learning modules – Numbers (e.g., counting), Operations (+, -, x, ÷), and Measurement, Time, & Money. Problems feature a fun mix of animals (e.g., tarantulas, octopuses, penguins) & objects (e.g., flashlights, alarm clocks, umbrellas). Children with screen-based Alexa devices see images that enhance the experience. Examples include: Numbers: What number goes between 6 and 8? (Kindergarten) Operations: 4 penguins are watching a sunset. 3 zebras joined them. How many animals are watching the sunset? (Grade 1) Measurement/Money/Time: How many days are in March and April combined? (Grade 4) - MULTI-USER: Up to 6 users, so each child can learn at their own pace. Free version includes most of the basic and many of the grade-level activities for each subject, and 20 free books for kids in K–5. Bamboo Learning Plus subscription (which starts with a 14-day free trial) includes full access to all basic, grade-level, and advanced activities in all subjects, and 50 books (as of May 2021), with more added each month. - IS BAMBOO LEARNING FREE? Yes! Anyone can use Bamboo Learning to use basic and some grade level activities at no cost. Bamboo Learning Plus (an optional subscription) provides the complete Bamboo Learning curriculum including all basic, grade level, and advanced activities. - REVIEWS If you love this skill, give us a customer review in the Alexa skills store! - CHECK OUT OUR USER GUIDE AT guide.bamboolearning.com. - ACCOUNT LINKING Parents can sign up for a Bamboo Grove (“dashboard”) account at grove.bamboolearning.com to follow kids' progress"
my host jarvis,https://www.amazon.com/Shravan-Naik-my-host-jarvis/dp/B0899KN7RH/ref=sr_1_9?dchild=1&qid=1624660566&s=alexa-skills&sr=1-9,"Alexa,it is an AI which will ask your name and it will give u a greeting when u enter your name in the box it will display it."
Bedtime Story,https://www.amazon.com/Gaggle-Bedtime-Story/dp/B07FX94Z48/ref=sr_1_8?dchild=1&qid=1624660566&s=alexa-skills&sr=1-8,"Bedtime Stories is a classical storytime skill for children to learn different moral lessons. Here is a list of bedtime stories we have for now: Alice in Wonderland Aladdin Hansel and Gretel Pinocchio Little Red Riding Hood The Pied Piper Peter Pan Rapunzel Sun and Moon Little Match Girl Three Little Pigs Jack and the Beanstalk UPDATE Sorry guys for not updating regularly as promised.  So sorry for the long wait... ***We Added New Stories*** The Frog Prince The Happy Prince The Wizard of Oz Thumbelina The Last Leaf Mr Stubborn Lotus Nobody's Boy Maya the Bee Anne of Green Gables The Selfish Giant Gulliver's Travels Donkey Skin To choose a story, just mention any of the stories listed above. For example, ""Donkey Skin"" if it's ""Donkey Skin"" you want to listen to.! We will keep adding more stories regularly...!"
Bedtime stories,https://www.amazon.com/iKu-France-Bedtime-stories/dp/B078XMKZBV/ref=sr_1_4?dchild=1&qid=1624660566&s=alexa-skills&sr=1-4,"Give your kids the excitement of a bedtime story that changes every time they hear it. Not only that, the kids themselves decide how the story will turn out. Just start the skill, listen to the story and choose at the appropriate time how it shall continue."
Kids Quiz!,https://www.amazon.com/VoicePress-AI-Kids-Quiz/dp/B07JJYNY5J/ref=sr_1_5?dchild=1&qid=1624660566&s=alexa-skills&sr=1-5,"From the creators of Question of the Day, Kids Quiz poses fun new questions everyday for children ages 5-12, from animals and science to brainteasers and fun facts. Kids Quiz is a great way for children to reinforce their learning and discover new things about the world.  Parents: visit our Facebook page at www.facebook.com/AlexaKidsQuiz to read FAQs, interact with other users, and provide feedback."
