skill_name,skill_link,skill_description
Amazon Math,https://www.amazon.com/Amazon-Math/dp/B0797Y6HNY/ref=sr_1_1?dchild=1&qid=1624647128&rnid=14284832011&s=alexa-skills&sr=1-1,"The Amazon Math skill offers an easy and fun way for kids to practice math. Kids choose their current grade level from Kindergarten through 5th grade and can choose from a variety of topics, including addition, multiplication, comparing, rounding, and more! Kids complete sets of 5 math problems and can choose to focus on a specific topic or do a mix of topics. Alexa keeps track of scores and progress and can increase or decrease the difficulty of a topic as needed. Alexa can even take turns counting with you, by any number, and will celebrate when you reach counting goals.   Once you're in the skill, you can use the following commands to help you navigate: Repeat/Say it again - Hear the question again Change Topic - Alexa will switch to a different, grade-appropriate topic Harder/Easier- Alexa will move you up or down in difficulty List all Topics - Find out all the different topics you can choose from What's my score? - Get the total score for the session Change Grade - If another user from a different grade wants to play"
Pull-Ups® Potty Training Assistant,https://www.amazon.com/Kimberly-Clark-Corporation-Pull-Ups%C2%AE/dp/B083FJKN1X/ref=sr_1_12?dchild=1&qid=1624647128&rnid=14284832011&s=alexa-skills&sr=1-12,"Let your Smart Speaker help you potty train! The Pull-Ups® Voice Skill for Smart Speakers has potty reminders, positive reinforcement, and Disney character interactions to help make potty training a fun bonding experience. Pull-Ups® Voice Assistant Makes Potty Training Fun, Fast & Easy for Everyone!   - Big Kid Fun: Motivate your toddler to potty train by calling Disney characters and and playing songs to celebrate milestones   - Mom's Must-Have Potty Training Assistant: Get Daily Tips, answers to potty training questions, and potty break reminders right on your Smart Speaker. You can even use the App on the go.   - Encouragement and Bonding: This is a unique experience for you & your Big Kid. Create a partnership that will celebrate all the milestones of growing up!   Things You Can Ask the Pull-Ups® Voice Skill “Call a Disney® Character” so your toddler can hear encouragement from their favorite characters   “Set a potty break reminder” so you don’t have to stop and ask your toddler   “Give me a tip of the day” so you can get the support you need to guide your child through potty training   “Celebrate” or “Play the handwashing song” to play music that reinforces your Big Kid’s actions"
"Fun, Cool and Interesting Words",https://www.amazon.com/Fun-Cool-and-Interesting-Words/dp/B082PFTPK7/ref=sr_1_11?dchild=1&qid=1624647128&rnid=14284832011&s=alexa-skills&sr=1-11,"Fun, Cool and Interesting Words"
Choose Your Own Adventure,https://www.amazon.com/Audible-Choose-Your-Own-Adventure/dp/B07N6R87RH/ref=sr_1_9?dchild=1&qid=1624647128&rnid=14284832011&s=alexa-skills&sr=1-9,"You decide what happens next in these classic Choose Your Own Adventure® stories brought to you by Audible. In each professionally narrated story, you are the adventurer who makes the choices that decide your fate. To help you on your journey: Say “go back” to go back one scene if you don't like the choice you made. Say “start over” to start your current story over from the beginning. Say “change story” if you are ready to switch to another story. Say ""skip"" if you want to skip part of the story. If you need help, just ask. Stories available from the original series: *Newly added* Mystery of the Maya by R. A. Montgomery Space and Beyond by R.A. Montgomery The Abominable Snowman by R. A. Montgomery Journey Under the Sea by R. A. Montgomery Adapted to audiobook by Audible based on original titles © Chooseco LLC. Features: 40 total endings in Mystery of the Maya 27 total endings in The Magic of the Unicorn 43 total endings in Space and Beyond 28 total endings in The Abominable Snowman 37 total endings in Journey Under the Sea Progress tracking and automatic bookmarking for resuming later Choose Your Own Adventure® is compatible with FreeTime devices if you grant permissions to the skill at parents.amazon.com or visit the FreeTime section of the Alexa app. Issues? Feedback? We want to hear from you. Send us a note: audible-cyoa@audible.com"
kids Quiz,https://www.amazon.com/Dheeraj-Gupta-kids-Quiz/dp/B085NNQY2G/ref=sr_1_6?dchild=1&qid=1624647128&rnid=14284832011&s=alexa-skills&sr=1-6,"Play an interesting game of quiz with Alexa. While playing the quiz, you can say ""Alexa, next"" to move to the next question. At any point, you can say ""Alexa, stop"" to exit the quiz. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer."
Skills for Kids. Elephant Facts,https://www.amazon.com/Skills-for-Kids-Elephant-Facts/dp/B07DVH9G5B/ref=sr_1_8?dchild=1&qid=1624647128&rnid=14284832011&s=alexa-skills&sr=1-8,"Elephant Facts is a skill that teaches toddlers and kids wide range of interesting facts about Elephants. By default, the skill will play until you stop it. To stop the skill, say ""Alexa, stop.” To resume it again, say ""Alexa, resume."" Please leave a 5-star review if you love this Skill. Your 5-star reviews will encourage us to keep making more great skills for kids."
A. I. R. Vocabulary,https://www.amazon.com/Education-Entrepreneurs-A-I-Vocabulary/dp/B07P8L9YHM/ref=sr_1_7?dchild=1&qid=1624647128&rnid=14284832011&s=alexa-skills&sr=1-7,"Updated consistently, This skill will help you with vocabulary teaching how to spell along with the definition of the word used in the OHIO used A.I.R. Test.  Help children study while they have fun using Alexa!"
Water Wise,https://www.amazon.com/lastmanchatting-Water-Wise/dp/B07NL7N68M/ref=sr_1_10?dchild=1&qid=1624647128&rnid=14284832011&s=alexa-skills&sr=1-10,"Let’s teach our kids (and ourselves) to be thankful for every drop of water. Let them know how much water is wasted every day, and how to conserve it. Let them know how millions of people around the world have to walk miles, to just get a bucket of water. With an interesting , kid-friendly quiz format, WW teaches our kids and us, about how precious water is, and the ways we could adopt, to conserve this priceless resource. Look forward to your feedback – chatandsharefeedback@gmail.com You can say: ""Alexa, open Water Wise"" ""Alexa, start Water Wise"" ""Alexa, launch Water Wise"""
Math Machine,https://www.amazon.com/Tree-Frog-Labs-Math-Machine/dp/B01LMG0DDE/ref=sr_1_5?dchild=1&qid=1624647128&rnid=14284832011&s=alexa-skills&sr=1-5,"Math Machine is a simple game that challenges both your concentration and math skills. Once you launch the skill, you can choose from two activities. Math Facts can be used to drill basic math operations, such as ""5 plus 6"" or ""4 times 8"". Just say, ""Play math facts,"" or ""Test addition facts up to five."" Operations Challenge will test your concentration and math speed. You will start with a simple problem, such as ""5 minus 3,"" but each successive problem will add another operation. How far can your skills take you? Just say, ""Play the operations challenge,"" or ""Try the operations challenge with five operations"" to get started. If you didn't hear a problem, just ask Alexa to repeat it. NOTE: For the Operations Challenge, all operations should be performed in the order in which they are spoken, so 5 - 2 * 3 should be calculated as 5 - 2 = 3, then 3 * 3 = 9."
Short Bedtime Stories,https://www.amazon.com/AlSummers-Short-Bedtime-Stories/dp/B074WGJXQL/ref=sr_1_4?dchild=1&qid=1624647128&rnid=14284832011&s=alexa-skills&sr=1-4,"Welcome to Short Bedtime Stories by Al Summers Media. This skills offers a selection of short bedtime sleep stories. Want to launch the skill? Just say: ""Alexa, open bedtime stories and list all stories"" or ""Alexa, open bedtime stories and play all stories"". At the moment the skill offers the following bedtime stories:  1) Tyler meets Santa 2) Joy teaches kindness 3) Danny's ocean adventure 4) Jessica bakes cake 5) Dental heroes 6) Alfi blows bubbles 7) Goldilocks and three bears 8) Little Pirate Joe 9) Cinderella  10) My Travelling Adventures  (kids decide how the story develops) 11) Halloween Treasure Hunt  ✶✶✶✶✶✶✶✶BRAND NEW✶✶✶✶✶✶✶✶ Play a personalised children's story - ask for example ""play personalised story"" or ""play my personal story"". Please be aware that only English names can processed... NEW FEATURES: ► say ""spin the wheel"" to play a random bedtime story ► say ""Alexa Next"" to skip a story ► say""Alexa Repeat"" to repeat a story ► say ""Alexa Previous"" to go back to the previous story Please leave a rating if you love this skill. Please report bugs via our website. We welcome your feedback!"
Bedtime Story,https://www.amazon.com/Gaggle-Bedtime-Story/dp/B07FX94Z48/ref=sr_1_3?dchild=1&qid=1624647128&rnid=14284832011&s=alexa-skills&sr=1-3,"Bedtime Stories is a classical storytime skill for children to learn different moral lessons. Here is a list of bedtime stories we have for now: Alice in Wonderland Aladdin Hansel and Gretel Pinocchio Little Red Riding Hood The Pied Piper Peter Pan Rapunzel Sun and Moon Little Match Girl Three Little Pigs Jack and the Beanstalk UPDATE Sorry guys for not updating regularly as promised.  So sorry for the long wait... ***We Added New Stories*** The Frog Prince The Happy Prince The Wizard of Oz Thumbelina The Last Leaf Mr Stubborn Lotus Nobody's Boy Maya the Bee Anne of Green Gables The Selfish Giant Gulliver's Travels Donkey Skin To choose a story, just mention any of the stories listed above. For example, ""Donkey Skin"" if it's ""Donkey Skin"" you want to listen to.! We will keep adding more stories regularly...!"
Bamboo Learning,https://www.amazon.com/Bamboo-Learning-Inc/dp/B094DQLS8J/ref=sr_1_2?dchild=1&qid=1624647128&rnid=14284832011&s=alexa-skills&sr=1-2,"Bamboo Learning is the 1st comprehensive learning program for children in grades K–5 on Alexa. With up to 6 users per family, Bamboo Learning brings together all of the great exercises and content from our award-winning Alexa skills—Bamboo Math, Bamboo Books & Bamboo English—in a fun game-like experience. Bamboo Learning reflects standard US K–5 curriculum. Bamboo Learning includes math, phonics, spelling, grammar, vocabulary, listening comprehension with 20 free and 30 subscription-based audiobooks (with more added each month). Bamboo Learning now includes a human-narrated Panda to welcome kids to Bamboo Learning each day, praise them for correct answers, and gently nudge them to try again, if they're incorrect. Panda also celebrates their accomplishments; children earn Bamboo tokens (complete with sound effects), which keeps kids interested in returning to learn more using Bamboo Learning’s self-paced activities. Images and text are available for Echo Show & Fire TV products. BOOKS & LISTENING COMPREHENSION Bamboo Learning offers 20 free and 30 subscription-based books for kids to listen to and follow along with words and pictures on screen-based Alexa devices like Echo Show and Fire TV. New books will be added each month as part of the Bamboo Learning Plus subscription. Please see ""What's New"" section or our website for a full list of books. Bamboo Learning listening comprehension exercises incorporate questions into 50 narrated books (as of May 2021) for grades K–5. These exercises help children improve their ability to understand elements of the books, including characters, plot, and details. Listening skills are key to improving reading and writing. On screen-based Alexa devices, text and pictures enhance the experience.  LANGUAGE ARTS Bamboo Learning Language Arts program follows the curriculum used in the majority of elementary schools throughout the US, including thousands of phonics, spelling, grammar, and vocabulary exercises in the form of word games. Examples include: Phonics: Which word rhymes with BOUNCE – ANNOUNCE or BEHIND? (Grade 2) Spelling: In the word CAT, is the last letter T? (Grade 1) Grammar: This movie is exciting. Which word is an adjective? (Grade 3) Vocabulary: If you add the letters -ER at the end of the word PAINT, what word do you get? (Grade 2) MATH Bamboo Learning Math offers tens of millions of math problems for kids in grades K–5, with 3 learning modules – Numbers (e.g., counting), Operations (+, -, x, ÷), and Measurement, Time, & Money. Problems feature a fun mix of animals (e.g., tarantulas, octopuses, penguins) & objects (e.g., flashlights, alarm clocks, umbrellas). Children with screen-based Alexa devices see images that enhance the experience. Examples include: Numbers: What number goes between 6 and 8? (Kindergarten) Operations: 4 penguins are watching a sunset. 3 zebras joined them. How many animals are watching the sunset? (Grade 1) Measurement/Money/Time: How many days are in March and April combined? (Grade 4) - MULTI-USER: Up to 6 users, so each child can learn at their own pace. Free version includes most of the basic and many of the grade-level activities for each subject, and 20 free books for kids in K–5. Bamboo Learning Plus subscription (which starts with a 14-day free trial) includes full access to all basic, grade-level, and advanced activities in all subjects, and 50 books (as of May 2021), with more added each month. - IS BAMBOO LEARNING FREE? Yes! Anyone can use Bamboo Learning to use basic and some grade level activities at no cost. Bamboo Learning Plus (an optional subscription) provides the complete Bamboo Learning curriculum including all basic, grade level, and advanced activities. - REVIEWS If you love this skill, give us a customer review in the Alexa skills store! - CHECK OUT OUR USER GUIDE AT guide.bamboolearning.com. - ACCOUNT LINKING Parents can sign up for a Bamboo Grove (“dashboard”) account at grove.bamboolearning.com to follow kids' progress"
Bamboo Books,https://www.amazon.com/Bamboo-Learning-Inc-Books/dp/B07R3DF63G/ref=sr_1_15?dchild=1&qid=1624647128&rnid=14284832011&s=alexa-skills&sr=1-15,"Bamboo Books offers narrated stories and exercises to help children improve listening comprehension. For children using Alexa screen-based devices like Fire tablets and Fire TV, Bamboo Books offers text and images to permit reading along with Alexa. (NOTE: If you are using Fire tablets, make sure to say “Alexa switch to Show Mode.” before saying “Alexa, open Bamboo Books.” so that you can experience all of the text and images.) Bamboo Books includes selections from classic children’s books & stories such as: Level 1 • The Little Red Hen by Florence Williams • Little Red Riding Hood by Unknown Author • Rumpelstiltzkin by Unknown Author • The Story of the Three Little Pigs by Unknown Author • The Story of the Three Bears by Robert Southey Level 2 • The Story of Doctor Dolittle by Hugh Lofting • The Elephant's Child by Rudyard Kipling • The Jungle Book by Rudyard Kipling • Peter Pan by J. M. Barrie • The Tale of Peter Rabbit by Beatrix Potter Level 3 • Alice's Adventures in Wonderland by Lewis Carroll • Adventures of Huckleberry Finn by Mark Twain • The Railway Children by Edith Nesbit • Treasure Island by Robert Louis Stevenson • The Wonderful Wizard of Oz by L. Frank Baum Exercises and questions help children practice listening for characters, plot, setting, details, and more. There are 3 different levels to offer an engaging experience for pre-readers, early, intermediate, and advanced readers. Even adults will enjoy practicing their ability to remember details using only their listening skills. WE ALSO OFFER A GUIDE TO USING BAMBOO BOOKS AT guide.bamboolearning.com. Keep checking back periodically for more books! BENEFITS OF OPTIONAL ACCOUNT LINKING AND BAMBOO GROVE ------------------------------------------------------------------------------------------ Parents can sign up for an optional Bamboo Learning account by going to Bamboo Grove at grove.bamboolearning.com. Bamboo Grove is where parents can go to follow their children’s progress, including correct and incorrect answers for each book, and badges awarded. After signing up for a Bamboo Learning account, parents will need to link that account with the Bamboo Books Alexa skill. Parents can do this by opening the Alexa App (or going to alexa.amazon.com) and then searching for Bamboo Books within the skills section of the Alexa App. After finding Bamboo Books in the Alexa App, select “Settings”, and then “Link Account”. A screen with a Bamboo logo will show up. Sign in to the previously created Bamboo Learning account and Bamboo Books will be linked. After that, visit Bamboo Grove at grove.bamboolearning.com to view progress."
Math Facts - Math Practice for Kids,https://www.amazon.com/Math-Facts-Practice-Kids/dp/B01HLUPI08/ref=sr_1_16?dchild=1&qid=1624647128&rnid=14284832011&s=alexa-skills&sr=1-16,"Math Facts gives you practice for addition, subtraction, multiplication and division. Just open Math Facts, choose your operation, and you'll get a set of five questions. If you get all five right, expect a silly surprise. This skill makes math practice fun for the whole family! The skill has been refined through extensive kid testing for accuracy and precision in listening to responses. It's perfect for math practice while you're staying home. Try it out and see the results!"
Story Time,https://www.amazon.com/Intrinsic-Software-Story-Time/dp/B078XDQG6Z/ref=sr_1_14?dchild=1&qid=1624647128&rnid=14284832011&s=alexa-skills&sr=1-14,"The fun stories told by Story Time are full of questions that will test the listener's skills in various areas such as math, currency, time, and listening comprehension."
