skill_name,skill_link,skill_description
speak spell,https://www.amazon.com/Cynthia-Balusek-speak-spell/dp/B072LTXJCT/ref=sr_1_1?dchild=1&qid=1624647486&rnid=14284832011&s=alexa-skills&sr=1-1,"Referencing the original word lists from the original Speak and Spell hardware, this interactive game will test your spelling for a number of commonly misspelled words.  The original four levels are available."
Kids Quiz!,https://www.amazon.com/VoicePress-AI-Kids-Quiz/dp/B07JJYNY5J/ref=sr_1_2?dchild=1&qid=1624647486&rnid=14284832011&s=alexa-skills&sr=1-2,"From the creators of Question of the Day, Kids Quiz poses fun new questions everyday for children ages 5-12, from animals and science to brainteasers and fun facts. Kids Quiz is a great way for children to reinforce their learning and discover new things about the world.  Parents: visit our Facebook page at www.facebook.com/AlexaKidsQuiz to read FAQs, interact with other users, and provide feedback."
The SpongeBob Challenge,https://www.amazon.com/Nickelodeon-The-SpongeBob-Challenge/dp/B073X5CZLD/ref=sr_1_8?dchild=1&qid=1624647486&rnid=14284832011&s=alexa-skills&sr=1-8,"Family night gets an extra serving of patty-flippin’ fun with Nickelodeon’s SpongeBob Challenge memory game on Alexa! Join the Krusty Krab crew, and take orders from the hungry citizens of Bikini Bottom. Work alongside your favorite characters, including SpongeBob, Squidward, and Mr. Krabs. Get ready to be challenged as the customers' orders get harder and harder. Nautical nonsense awaits, so join the Krusty Krab crew today!   To enable the skill, simply say ""Alexa, start the SpongeBob Challenge”.   To quit, just say ""Alexa, quit"" anytime during the game.   The SpongeBob Challenge skill is for kids and fans aged 6+.   For issues, questions, or comments please email us at amazonalexa@nick.com.  We want to hear directly from you!   ------------------------------------------------------------------------------------------------------------------------------  The SpongeBob Challenge Alexa Skill collects personal user data as well as non-personal user data (including aggregated data). User data collection is in accordance with applicable law, such as COPPA. User data may be used, for example, to respond to user requests; enable users to take advantage of certain features and services; customize the user experience and content; and manage and improve Nickelodeon's services. For more information regarding Nickelodeon’s use of data, please visit the Nickelodeon Group Privacy Policy below. Our Privacy Policy is in addition to any terms, conditions or policies agreed to between you and Amazon.com, Inc., and Nickelodeon and its affiliated entities, including Earplay, Inc. are not responsible for Amazon's collection or use of your personal user data and information. Use of this skill is subject to the Nickelodeon End User License Agreement. The SpongeBob Challenge Alexa Skill may include the use of anonymous persistent identifiers for skill management purposes and enabling this skill constitutes your permission to such usage of anonymous persistent identifiers for all users on your device. Disabling this skill will a) permanently disable use of a previous anonymous persistent identifier, and b) disconnect all user experience data from the previously related account managed by Amazon. End User License Agreement: http://www.nick.com/nick-eula/ Privacy Policy: http://www.nick.com/privacy-policy/ The End User License Agreement for this app includes arbitration for disputes – see FAQs: http://www.nick.com/faqs/ Skill description updated as of 07/11/2019"
Kids Trivia,https://www.amazon.com/Gonzo-Studios-Kids-Trivia/dp/B0758NP4TN/ref=sr_1_5?dchild=1&qid=1624647486&rnid=14284832011&s=alexa-skills&sr=1-5,"This skill is for all ages. It is sure to keep even the brightest young minds entertained and challenged. Kids Trivia is a voice interactive game in which questions are asked and two possible answers are given. Please respond with the number of the correct answer and this skill will let you know if you are correct. After the round is complete, Alexa will let you know your final score. Bring your friends and family along with you and see see who can get the higher score!"
True False Science Quiz for Kids,https://www.amazon.com/True-False-Science-Quiz-Kids/dp/B088R8JCJN/ref=sr_1_9?dchild=1&qid=1624647486&rnid=14284832011&s=alexa-skills&sr=1-9,"Hello Geniuses, True False Science Quiz for Kids is a Alexa Skill for the Kids who are interested in Science stuff!! This skill will challenge you 20 questions to test your science knowledge. I hope you find it easy :) I hope you enjoy this.. all the best!!"
Kids Kitchen - Childrens cooking game,https://www.amazon.com/Kids-Kitchen-Childrens-cooking-game/dp/B078P8D1M1/ref=sr_1_10?dchild=1&qid=1624647486&rnid=14284832011&s=alexa-skills&sr=1-10,"In Kids Kitchen you can create fantastical and crazy food! Start off by saying what type of cake you want to make, add some interesting ingredients, boil, fry blend and mix, then stick it in the oven, decorate and serve it to your friends!"
Kid Dancer,https://www.amazon.com/Flammily-Games-Kid-Dancer/dp/B083V22CYH/ref=sr_1_4?dchild=1&qid=1624647486&rnid=14284832011&s=alexa-skills&sr=1-4,"Fun interactive dancing game for kids aged 3+. If your kid likes dancing, they will love kid dancer! Kid Dancer includes six fun levels: *Jungle *Outer Space *Desert *City *Ocean *Fairyland Loved by ages: 3-8! Did you like the game? Please leave us a review!"
No Way That's True,https://www.amazon.com/Nickelodeon-No-Way-Thats-True/dp/B079Q4DPBR/ref=sr_1_3?dchild=1&qid=1624647486&rnid=14284832011&s=alexa-skills&sr=1-3,"Did you know that a blue whale's heart weighs 400 pounds? Test your knowledge of wild and weird facts about animals, people, places and more in Nickelodeon’s No Way That’s True skill on Alexa! Go head-to-head with up to 4 players in this crazy trivia game that zips you around the globe. Along the way you’ll encounter SpongeBob, Lincoln Loud, and more of your favorite Nickelodeon characters, visit some of the world's most amazing places, and learn crazy facts about the planet we all call home. It's the game that will have you saying, ""No way that's true!"" To enable the skill, simply say ""Alexa, open No Way That’s True.” To quit, just say ""Alexa, quit"" anytime during the game. The No Way That’s True skill is for kids and fans aged 6+.  No Way That's True is also part of a FreeTime Unlimited Subscription.  For more information on FreeTime Unlimted, go to https://www.amazon.com/freetimeunlimited.” For issues, questions, or comments please email us at amazonalexa@nick.com.  We want to hear directly from you! ---------------------------------------------------------------------------------------------------------------------------------------- The No Way That’s True Alexa Skill collects personal user data as well as non-personal user data (including aggregated data). User data collection is in accordance with applicable law, such as COPPA. User data may be used, for example, to respond to user requests; enable users to take advantage of certain features and services; customize the user experience and content; and manage and improve Nickelodeon's services. For more information regarding Nickelodeon’s use of data, please visit the Nickelodeon Group Privacy Policy below. Our Privacy Policy is in addition to any terms, conditions or policies agreed to between you and Amazon.com, Inc., and Nickelodeon and its affiliated entities, including Earplay, Inc. are not responsible for Amazon's collection or use of your personal user data and information. Use of this skill is subject to the Nickelodeon End User License Agreement. No Way That’s True Alexa Skill may include the use of anonymous persistent identifiers for skill management purposes and enabling this skill constitutes your permission to such usage of anonymous persistent identifiers for all users on your device. Disabling this skill will a) permanently disable use of a previous anonymous persistent identifier, and b) disconnect all user experience data from the previously related account managed by Amazon. End User License Agreement: http://www.nick.com/nick-eula/ Privacy Policy: http://www.nick.com/privacy-policy/ The End User License Agreement for this app includes arbitration for disputes – see FAQs: http://www.nick.com/faqs/ Skill description updated as of 07/11/2019"
Watermelon Store,https://www.amazon.com/Corson-Apps-Watermelon-Store/dp/B07DC8DMTJ/ref=sr_1_15?dchild=1&qid=1624647486&rnid=14284832011&s=alexa-skills&sr=1-15,"Have you ever had a sudden urge to have a watermelon, but you lacked the transportation and/or funds to get to an actual store to buy and eventually taste a watermelon? You will never have this problem again! With the brand new Alexa Watermelon Store, you can experience the purchasing and consumption process of watermelons, all from the comfort of your home. Simply ask the Watermelon Store for a watermelon, and you will receive a verbal watermelon! But what kind of watermelon did you get? Was it tasty? Delicious? Sweet? Or was it moldy? Alexa will answer that for you! What are you waiting for? Go get some watermelon."
Snack Time,https://www.amazon.com/Toni-and-Mary-Snack-Time/dp/B08VJDLCYG/ref=sr_1_14?dchild=1&qid=1624647486&rnid=14284832011&s=alexa-skills&sr=1-14,"Ask Alexa ""whats for snack"" and she answers with randomized answers that are mostly healthy, and general enough that hopefully something should fit the pick. Examples of answers include: - a fruit or vegetable - something that grew on a tree - crackers with cheese - yogurt (most specific answer) - a protien"
