skill_name,skill_link,skill_description
Drum Showroom,https://www.amazon.com/Podcraft-Drum-Showroom/dp/B07DWYNCGL/ref=sr_1_11?dchild=1&qid=1624575112&rnid=14284832011&s=alexa-skills&sr=1-11,"Drum Showroom is the drum gear show, hosted by lifelong drummer and audio technology leader Dan Radin. Each episode features a conversation with a drum maker, drum company rep, or drummer about the gear that inspires them. Learn the stories behind the gear, go deep into the details, and discover tips and tricks to make it your own."
Chompers,https://www.amazon.com/Gimlet-Media-Chompers/dp/B079WCGTKX/ref=sr_1_5?dchild=1&qid=1624575112&rnid=14284832011&s=alexa-skills&sr=1-5,"Make tooth time easy with this morning and night tooth brushing show for kids. When it’s time for your family to brush teeth, say “Alexa, start Chompers.”  Kids will hear jokes, riddles, stories, fun facts, silly songs and more, that’ll keep them giggling — and brushing — for the full two minutes that dentists recommend.  To help your family build good brushing habits, Chompers counts the times you brush and celebrates your streaks. Chompers will have kids reminding parents that it's time to brush, not the other way around! Recommended for tooth brushers ages 3 - 7.  Chompers is presented by Gimlet Media."
Singing Whales,https://www.amazon.com/Perez-LLC-Singing-Whales/dp/B07CTT8YWW/ref=sr_1_9?dchild=1&qid=1624575112&rnid=14284832011&s=alexa-skills&sr=1-9,"Listen to the peaceful sounds of the singing humpback whales.  Each whale has a unique song which changes every year.  These beautiful songs are courtesy of the Oceania Project, a non-profit organization organized for the awareness and protection of our precious oceans and cetacea that occupy its fragile waters. This particular whale is named Gabriel.  If you enjoy what you hear, please leave a 5-star review.  Your reviews encourage us to release more whale songs in the future.  The skill can also help with sleep and meditation.  It's also a great teaching tool for our children to create awareness of these beautiful beasts. Whale Song recording and master engineering for The Oceania Project by Mark Franklin. Used with permission and in full accordance with Creative Commons of Australia."
Amazon Storytime,https://www.amazon.com/Amazon-Education-Consumer-Team-Storytime/dp/B073X5FYVF/ref=sr_1_1?dchild=1&qid=1624575112&rnid=14284832011&s=alexa-skills&sr=1-1,"Turn any time into story time with Amazon Storytime, a free Alexa skill for kids ages 5-12. Explore a collection of more than a hundred short stories featuring lively full-cast recordings. Kids can choose from story categories including bedtime, silly, family, friends, and more. Or spin the magic story wheel for a surprise set of stories. Check out super fun original stories from LEGO®, or go on an interactive story adventure with Ripley’s Believe It or Not. Try Saying Things Like: “Alexa, ask Amazon Storytime to tell me a Ripley’s story.” “Alexa, ask Amazon Storytime to tell me silly stories.” “Alexa, next,” to skip a story. “Alexa, start over,” to go back to the beginning of a story. “Alexa, pause,” to take a break, and “Alexa, resume” to continue listening."
Bedtime Explorers,https://www.amazon.com/Kinderling-Kids-Radio-Bedtime-Explorers/dp/B07F82BJ58/ref=sr_1_8?dchild=1&qid=1624575112&rnid=14284832011&s=alexa-skills&sr=1-8,"NEW - Dinosaur Buddies episodes available alongside Magical Places and Animal Magic. NEW - Reminders feature to help get your little ones off to bed. Say “Alexa, ask Bedtime Explorers to set a bedtime reminder for 7pm”. Hello little explorer. Did you go an adventure today? Did you explore anything new? Did you have a lot of fun? Exploring takes lots of energy doesn’t it? So when its time to slow down, settle down and snuggle down, it’s time to become a Bedtime Explorer.  Bedtime Explorers are imaginative meditative journeys for children guided by mindfulness coach, Amy Taylor-Kabbaz, and calming sound design by Max Gosford. Each Bedtime Explorer episode invites children on an imaginative journey, teaching them easy-to-learn meditation techniques that they can use to fall asleep, or to just relax when the big things in life pile up on the little people we love. We hope your little ones love listening to Bedtime Explorers. We hope you grown-ups love them too!"
Vehicle Sounds,https://www.amazon.com/sodeko-Alexander-Gemmel-Vehicle-Sounds/dp/B0848PV7LT/ref=sr_1_7?dchild=1&qid=1624575112&rnid=14284832011&s=alexa-skills&sr=1-7,"With ""Vehicle Sounds"", Alexa can play the sounds of over 30 vehicles and means of transport. The following vehicles and means of transport can be selected: - airplane - ambulance - bike - bus - car - carriage - cart - digger - fire truck - formula 1 car - helicopter - jet - jetski - motorbike - motorboat - police car - propeller-driven airplane - roller skates - scooter - ship - skatebord - skis - sled - snowboard - space shuttle - sports car - steam train - streetcar - submarine - subway - tractor - train - truck Especially for the little ones a great fun!"
The Muffin Man - Interactive Song,https://www.amazon.com/The-Muffin-Man-Interactive-Song/dp/B07P3L9RWG/ref=sr_1_6?dchild=1&qid=1624575112&rnid=14284832011&s=alexa-skills&sr=1-6,"The Muffin Man skill is an Interactive Song for Children of all ages! Children's singer Megan Schoenbohm sings one verse of the original Muffin Man song, and then four verses of a new version of it (written by Megan and Chatty Creations), the fun part is that you can choose who you're going to meet in the song!! For example, ""Do you want to meet a Dog or a Cat?"" then the song continues according to that choice!  You can always ask for your favorite character out of the 9 characters, for example, say ""Alexa a cat"". We hope you have lots of fun! MusicTimeWithMegan.com ChattyCreations.com Be sure to leave a review! Please send us an email, if you have any comments or questions for us: chattycreations@gmail.com"
Super3,https://www.amazon.com/Corporaci%C3%B3-Catalana-de-Mitjans-Audiovisuals/dp/B08P3GCH6N/ref=sr_1_10?dchild=1&qid=1624575112&rnid=14284832011&s=alexa-skills&sr=1-10,"ES: Bienvenidos a Super3. La skill ofrece más de 30 cuentos infantiles en catalán, que forman parte del programa ""Una mà de contes"", del canal de televisión Super3. Están dirigidos a niñas y niños de 3 a 7 años y combinan música y narración. Algunos cuentos son tradicionales y otros pertenecen a diferentes culturas del mundo. Todos despertarán la imaginación de los más pequeños y son ideales para escuchar antes de ir a dormir. La skill permite escoger un cuento diferente cada vez, hacer girar la rueda mágica para escoger una historia al azar o pedir un cuento por el título. Podéis decir: - ""Alexa, abre contes del Super3"": para abrir la skill y escoger un cuento. - ""Alexa, gira el Super3"": para escuchar un cuento al azar cuando la skill ya está abierta. - ""Alexa, vull un conte"": para pedir un cuento concreto. Por ejemplo, ""El Patufet"", ""Hansel i Gretel"" o ""La caputxeta vermella"" cuando la skill ya está abierta.. Los contenidos de esta skill están en catalán. Disponible para dispositivos con Alexa: Echo, Echo Dot, Echo Input, Echo Spot, Echo Plus, Echo Show y Echo Show 5. Con dispositivos con FireTV, para utilizar la skill tenéis que decir: ""Alexa, obre contes del Super3’"". CAT: Us donem la benvinguda a Super3. La skill ofereix més de 30 contes infantils en català, que formen part del programa del Super3 ""Una mà de contes"". Estan adreçats a nenes i nens d'entre 3 i 7 anys i combinen música i narració. Alguns contes són tradicionals i d’altres pertanyen a altres cultures del món. Tots despertaran la imaginació del més petits i són ideals per escoltar abans d'anar a dormir. La skill permet triar un conte diferent cada vegada o fer girar la roda màgica per escollir una història a l'atzar. Proveu de dir: - ""Alexa, abre contes del Super3"": per obrir la skill i triar un conte. - ""Alexa, gira el Super3"": per escoltar un conte a l'atzar quan la skill ja està oberta. - ""Alexa, vull un conte"": per demanar un conte concret. Per exemple, ""El Patufet"", ""Hansel i Gretel"" o ""La caputxeta vermella"" quan la skill ja està oberta. Els continguts d'aquesta skill són en català. Disponible per a dispositius amb Alexa: Echo, Echo Dot, Echo Input, Echo Spot, Echo Plus, Echo Show i Echo Show 5. Amb dispositius amb FireTV, per utilitzar la skill heu de dir: ""Alexa, abre contes del Super3’""."
Bedtime stories,https://www.amazon.com/iKu-France-Bedtime-stories/dp/B078XMKZBV/ref=sr_1_2?dchild=1&qid=1624575112&rnid=14284832011&s=alexa-skills&sr=1-2,"Give your kids the excitement of a bedtime story that changes every time they hear it. Not only that, the kids themselves decide how the story will turn out. Just start the skill, listen to the story and choose at the appropriate time how it shall continue."
Sonidos de animales,https://www.amazon.com/Fidel-Aquino-Animal-sounds/dp/B07Q1D7S9M/ref=sr_1_4?dchild=1&qid=1624575112&rnid=14284832011&s=alexa-skills&sr=1-4,"Descubre qué sonidos hacen los animales. ¿Alguna vez has escuchado el sonido de un oso hormiguero?, ¿una cebra o un mapache? ¡Descúbrelos!"
Sleep Superpower: Sleep Missions for Kids,https://www.amazon.com/Sleep-Superpower-Missions-Kids/dp/B07BLXCFQB/ref=sr_1_3?dchild=1&qid=1624575112&rnid=14284832011&s=alexa-skills&sr=1-3,"Sleep Superpower by Stop, Breathe & Think features sleep missions to help kids slow down, get cozy and ease into sleep. Designed for the Echo Show, the missions include fun, animated videos. It also works with audio only Echo devices. Email us at support@stopbreathethink.com with feedback! To get started, say ""Alexa, open Sleep Superpower"". You will then be prompted to say “Play Mission” to begin a mission chosen by us. Alternatively, you can say the name of the mission you would like to play or say ""List Missions"" to list available missions. Available Missions include:  - Bulldog Finds His Quiet Place  - Butterfly Bodyscan  - Rock-a-bye  - Night Crickets Finally, you can always say “Alexa, ask Sleep Superpower for Mission” to jump to another mission. And to exit say, ""Alexa, exit"". So go on a sleep mission and strengthen your sleep superpower! If Sleep Superpower helps you fall asleep, please give us a 5-star rating. And if you don't think it's worthy of 5-stars, please let us know how we can make it better by emailing us at support@stopbreathethink.com. WHO WE ARE: At Stop, Breathe & Think, we believe that taking a few minutes each day to feel the calm is as important as regular exercise. If we can help more of you regularly find peace of mind, we’re doing our part to help make the world a better place.  - Winner of the 2017 Webby People’s Voice Award for Health & Fitness  - Over 3,000,000 downloads and counting on iOS and Android! OUR OTHER SKILLS:  - ""Meditation Timer"" for timed soundscapes  - “Guided Meditation” for over 60 daily guided meditations  - “Sweet Dreams” for sleep sounds and meditations SUPPORT: We'd love to hear from you! If you have questions, comments, or feedback, please email us at support@stopbreathethink.com."
Kidz Bop Star,https://www.amazon.com/KIDZ-BOP-Star/dp/B082VBZSQJ/ref=sr_1_15?dchild=1&qid=1624575112&rnid=14284832011&s=alexa-skills&sr=1-15,"Are you ready to be a KIDZ BOP Star? The KIDZ BOP Kids are here to help you get ready to hit the stage! The KIDZ BOP Kids guide you through picking out your pop star band name, learning awesome dance moves, building a song and the grand finale -- putting on a show. KIDZ BOP Star encourages movement, self-expression and imagination and celebrates the pop star in every kid!"
Nursery Rhymes,https://www.amazon.com/Ravindra-Patel-Nursery-Rhymes/dp/B07888C926/ref=sr_1_16?dchild=1&qid=1624575112&rnid=14284832011&s=alexa-skills&sr=1-16,"Kids can use this skill to play popular nursery rhymes randomly or by asking a specific nursery rhyme. This skill does support almost all popular rhymes and poems. Supported Rhymes:  Bingo Baa Baa Black Sheep Yankee Doodle Itsy Bitsy Spider The Wheels On The Bus Twinkle Twinkle Little Star Jack and Jill Henry The Dog Who Has A Penny? Big Rock Candy Mountain We're Finished Now Wishy Washy Washer Woman Gray Squirrel Digger Dog The Bear Went over the Mountain The Farmer in the Dell Do Your Ears Hang Low Greasy Grimy Gopher Guts Jim Along Josie Bill Grogan's Goat Two Little Blackbirds Plant A Little Seed Clickety Clack The Little Skunk’s Hole Shortnin' Bread Down by the Station Muffin Man There's A Little Wheel Hush Little Baby Oh, John The Rabbit Sally Go Round The Sun Clap Clap Clap Your Hands Pop Goes The Weasel Listen To The Drum Skip to my Lou It's Raining, It's Pouring Here Is A Choo-Choo Train I’m a Little Teapot When Ducks Get Up Up Up Up to Baby's Nose Head and Shoulders What Shall We Do? The Lady With The Allig Bluebird, Bluebird Sticky Bubblegum She'll Be Coming 'Round the Mountain When I Hear The Music Dancing Rainbow Colors Hickory Dickory Dock Four Little Paper Dolls The More We Get Together Salmon Song There Was A Tree Egg Shaker Song ABC Song Open Shut Them Little Miss Muffet Peanut Butter and Jelly I've Been Working On The Railroad Oh Mister Sun The Farmer's Apple Tree Five Little Snowmen I'll Drive A Dump Truck Billy Barlow The Rooster Song The Old Grey Cats Are Sleeping My Bonnie Lies Over the Ocean To Market, To Market Mary Had a Little Lamb In The Morning Slow Fast Song I Had a Little Turtle A Turnin' In My Heart Bear Hunt You Sing A Song Twinkle, Twinkle Little Star Have You Ever Been A'Fishin' Dump Truck Song Mister Turkey and Mister Duck Join In The Game Scotland's Burning Fishies The Ants Go Marching Green Grass Grew All Around I Know An Old Lady Here We Go Today Is Monday A Fly Jenny Jenkins Five Green Speckled Frogs Bought Me a Cat Who Swallowed Five Enormous Dinosaurs Five Little Ducks"
Kids Stories,https://www.amazon.com/A-Sharan-Kids-Stories/dp/B08YMWG54J/ref=sr_1_13?dchild=1&qid=1624575112&rnid=14284832011&s=alexa-skills&sr=1-13,Good Night Peppa! Story of the time when Granny and Grandpa pig baby sit Peepa and George.
Sky Clouds,https://www.amazon.com/PEAR-Publications-Sky-Clouds/dp/B084VLCKDP/ref=sr_1_14?dchild=1&qid=1624575112&rnid=14284832011&s=alexa-skills&sr=1-14,Listen to this short visualization to take a trip to a place in the clouds using deep breathing techniques paired with visualization to recenter and focus on positive thoughts.  You will be transported to a quiet place to see your personal clouds and use deep breathes to control them before returning with a focus on something that you love.
New Year's Countdown,https://www.amazon.com/Chloe-Lily-Rose-Years-Countdown/dp/B08Z8B1STH/ref=sr_1_27?dchild=1&qid=1624575114&rnid=14284832011&s=alexa-skills&sr=1-27,"5...4...3...2...1...Happy New Year! This New Year Countdown can count down the last 5 seconds for you before the new year starts! Simply say, “Alexa, open New Year Countdown.” And there you have it! Enjoy!  Love, Chloe Lily Rose "
My Name Picker,https://www.amazon.com/Mom-My-Name-Picker/dp/B092DNPGKX/ref=sr_1_26?dchild=1&qid=1624575114&rnid=14284832011&s=alexa-skills&sr=1-26,Randomly pick a name from my people on who's turn it is for dishes
My cat story,https://www.amazon.com/Malcolm-My-cat-story/dp/B093HBPQ85/ref=sr_1_25?dchild=1&qid=1624575114&rnid=14284832011&s=alexa-skills&sr=1-25,"Play an interactive prince and princess-themed story with sound effects and prompts. Get ready for laughs and giggles as players fill in the blanks. At any point, you can say ""Alexa, stop"" to exit the skill. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer."
Baby Bedtime Lullabies,https://www.amazon.com/Knownentity-Consulting-Limited-Bedtime-Lullabies/dp/B0764L3T5F/ref=sr_1_17?dchild=1&qid=1624575114&rnid=14284832011&s=alexa-skills&sr=1-17,"A skill for parents which plays soothing lullabies to help your baby sleep. The following lullabies are available: • Moon and Little Stars • Baby Sleep • Brahms Music Box • Two hour Lullaby (repeating tune for 2 hours) The supported commands: Alexa, Ask Baby Bedtime to <command> where command is one of  • Start/begin When playing one of the lullabies, you can use the following commands. ""Alexa"" and one of the following: • Shuffle on/off • Next/Skip • Previous • Start over • Loop on/off - turns continual looping on or off • Cancel/Stop/Pause • Resume - this will restart the last track played from the beginning • Stop after (a number of minutes or hours) - This will stop the lullabies after the given duration"
