skill_name,skill_link,skill_description
Birthday Message,https://www.amazon.com/Kelly-Birthday-Message/dp/B086MJR5X2/ref=sr_1_4?dchild=1&qid=1624647825&rnid=14284832011&s=alexa-skills&sr=1-4,"Celebrate special occasions with your loved ones. When you open the skill, Alexa will play a slideshow with rich images and audio. You can say ""Alexa, stop"" to exit anytime."
Talk Like a Pirate,https://www.amazon.com/Lamplight-Station-Talk-Like-Pirate/dp/B07DGSHWY9/ref=sr_1_5?dchild=1&qid=1624647825&rnid=14284832011&s=alexa-skills&sr=1-5,"""Ahoy, me hearties!"" Whether you're getting ready for ""Talk Like a Pirate Day,"" or you're just in the mood for some swashbuckling fun, Alexa is ready to help you learn ""pirate speak.""  When you open this skill, Alexa will tell you the meaning of a pirate word or phrase, and then she will give you the chance to use the pirate saying the way a real ""buccaneer"" would. If you're tired of being an ordinary ""landlubber,"" let Alexa teach you to talk like a pirate--you'll be ready to take to the high seas in no time!  You can say: ""Alexa, open Talk Like a Pirate"" ""Alexa, start Talk Like a Pirate"" ""Alexa, play Talk Like a Pirate"" Please leave a 5-star review if you love this skill, to encourage us to keep making more great skills.  Thanks!"
Cuántos días,https://www.amazon.com/Erwin-tavares-How-many-days/dp/B08XQX2KGP/ref=sr_1_3?dchild=1&qid=1624647825&rnid=14284832011&s=alexa-skills&sr=1-3,Abre la skill y Alexa te dirá automáticamente cuántos días faltan para todos tus eventos próximos. Alexa también puede recordarte la fecha exacta de eventos específicos. Esta skill se creó usando un Skill Blueprint. Tus solicitudes para esta skill no se comparten con el desarrollador de la skill.
Counting Sheep,https://www.amazon.com/Thats-Easier-Counting-Sheep/dp/B07QLTS8C3/ref=sr_1_6?dchild=1&qid=1624647825&rnid=14284832011&s=alexa-skills&sr=1-6,"So you've memorized how many tiles and cracks you have in your ceiling and you're laying there in bed trying to fall asleep. Nothing is working though?  Enter ""Counting Sheep"" - a simple, sleek little sheep counting skill that helps anyone young or old, from toddler to senior or in between to fall asleep by using their amazon echo device to count some sheep! One by one, the sheep gracefully float over the wooden fence. It sure beats staring at the ceiling.  Be sure to leave a 5-star review!"
Cuántos días,https://www.amazon.com/%C2%A1MIGUE-How-many-days/dp/B091YFP3FG/ref=sr_1_1?dchild=1&qid=1624647825&rnid=14284832011&s=alexa-skills&sr=1-1,Abre la skill y Alexa te dirá automáticamente cuántos días faltan para todos tus eventos próximos. Alexa también puede recordarte la fecha exacta de eventos específicos. Esta skill se creó usando un Skill Blueprint. Tus solicitudes para esta skill no se comparten con el desarrollador de la skill.
Disney Tinker Bell,https://www.amazon.com/Disney-Tinker-Bell/dp/B08PNHC1BD/ref=sr_1_9?dchild=1&qid=1624647825&rnid=14284832011&s=alexa-skills&sr=1-9,You can now set your alarm to Disney Tinker Bell! Copyright ©Disney Privacy Policy: https://privacy.thewaltdisneycompany.com/en/ Children’s Online Privacy Policy: https://privacy.thewaltdisneycompany.com/en/for-parents/childrens-online-privacy-policy/ Do Not Sell My Info: https://privacy.thewaltdisneycompany.com/en/dnsmi/
Kids Court,https://www.amazon.com/Pretzel-Labs-Kids-Court/dp/B078H9R4P3/ref=sr_1_2?dchild=1&qid=1624647825&rnid=14284832011&s=alexa-skills&sr=1-2,"Kids: Take your naughty friends, siblings or parents to Kids Court and get a ruling!  When someone's being unfair or nasty, bring them to court and let Lexy judge!  Judge Lexy's verdicts are final and everyone has to obey!  You can now play the judge in other kids fights! Just say ""Alexa, Be a judge"" to take the judge's oath and hear those little villains. Will you be merciful or send them off to jail? Come back for a new trial every day! **NEW** Now supporting echo show, echo spot, and fire TV! Play on these devices for an enhanced experience. --------------------------------------------------------------------------- Parents: No more ""she pushed me/he started it"". Send the kids to Kids Court and let Judge Lexy decide. While you rest, they will learn some basic facts about the US judicial system. They will learn to present their cases coherently and speak up for themselves. And when they don't listen to YOU, take them to court and watch THEM execute crazy verdicts!  Thanks for playing! If you enjoyed Kids Court, please a moment to leave a 5 star review and tell your friends <3 for more fun: www.playkidscourt.com email: Pretzel.Voice@gmail.com music by: https://www.bensound.com, zaplast"
Santa Claus,https://www.amazon.com/Drew-Firment-Santa-Claus/dp/B076Z13QSV/ref=sr_1_10?dchild=1&qid=1624647825&rnid=14284832011&s=alexa-skills&sr=1-10,"Santa Claus is making a list and checking it twice!  Do you want to know if you are naughty or nice?  ""Alexa, ask Santa Claus if I'm naughty or nice"" to find out!."
Favorite Person,https://www.amazon.com/JimBrandt-Favorite-Person/dp/B0784V8HW6/ref=sr_1_16?dchild=1&qid=1624647825&rnid=14284832011&s=alexa-skills&sr=1-16,"This simple fun skill picks a favorite person of the day. It can pick from its own favorites (like Santa) or from your suggestions. A suggestion can also include why someone should be a favorite. To get started, enable the skill and say 'open Favorite Person'"
Cuántos días,https://www.amazon.com/Henry-finol-How-many-days/dp/B08QZR7XBN/ref=sr_1_8?dchild=1&qid=1624647825&rnid=14284832011&s=alexa-skills&sr=1-8,Abre la skill y Alexa te dirá automáticamente cuántos días faltan para todos tus eventos próximos. Alexa también puede recordarte la fecha exacta de eventos específicos. Esta skill se creó usando un Skill Blueprint. Tus solicitudes para esta skill no se comparten con el desarrollador de la skill.
