skill_name,skill_rating,skill_reviews,skill_link,skill_description
Daniel learns sharing,5 out of 5,1,https://www.amazon.com/Supermann-Daniel-learns-sharing/dp/B07T41GWYG/ref=sr_1_2088?dchild=1&qid=1624660794&s=alexa-skills&sr=1-2088,"Listen to this interactive story with a timeless lesson. At any point, you can say ""Alexa, stop"" to exit the skill. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer."
Dad's Story,No Rating,0,https://www.amazon.com/Melissa-Dads-Story/dp/B07T69R6G7/ref=sr_1_2072?dchild=1&qid=1624660792&s=alexa-skills&sr=1-2072,Listen to a personalized story that's all about dad and narrated by Alexa.
Ask My Kid - Remote Learning Activities,No Rating,0,https://www.amazon.com/Ask-My-Kid-Learning-AskMyClass/dp/B07T3R6XFN/ref=sr_1_2089?dchild=1&qid=1624660794&s=alexa-skills&sr=1-2089,"Designed to help students and kids learn and study at home. Teachers and parents love having the extra support during busy days and evenings with AskMyKid. Whether kids are distance and remote learning or after a full day at school, kids often struggle to focus on study and homework. To support, AskMyKid has brain breaks, timers, academic practice, and emotional support activities. Teachers and parents can instantly add their own activities too. To learn how visit and see the full list of commands, go to:  https://askmykid.com/activities For example: - Need to get students to refocus for homework? Say “Alexa, calm down with my kid"" or ""Alexa, ask my kid to calm down"" - Need to get their wiggles out? “Alexa, dance with my kid” or ""Alexa, ask my kid to dance"" - Want to build their attention muscle? “Alexa, mindfulness with my kid” or "" Alexa, ask my kid for mindfulness"" - Want a timer? “Alexa, 2-minute music countdown with my kid” or ""Alexa, ask my kid for a 2-minute music countdown"" - How about calm music during work time? “Alexa, background music with my kid” or ""Alexa, ask my kid for background music"" Either start the command with ""ask my kid"" or end with ""with my kid"". Learn more: At AskMyClass, we believe in making education more empowering and engaging, using affordable tools, so every child learns better. Voice technology and AI are skills that all kids will be interacting with when they enter the workforce in 10 years, and we’re keen on getting them ready for that future. Visit us at GoAskMyClass.com.  If you’re a teacher looking for AskMyClass - Classroom Edition - search the skills store or learn more here: GoAskMyClass.com. If you’ve got content ideas or constructive feedback just email team@goaskmyclass.com. We’d love to hear from you."
Dad's Story,No Rating,0,https://www.amazon.com/str8up8up-Dads-Story/dp/B07T69C2VL/ref=sr_1_2074?dchild=1&qid=1624660792&s=alexa-skills&sr=1-2074,Listen to a personalized story that's all about dad and narrated by Alexa.
Kitchen Safety,4.6 out of 5,5,https://www.amazon.com/Create-Prayer-Pillow-Kitchen-Safety/dp/B07D1Y2JS9/ref=sr_1_3069?dchild=1&qid=1624660899&s=alexa-skills&sr=1-3069,"Kitchen Safety is a skill to help you if this is your first time in the kitchen to help mom or dad cook by stirring, pouring, measuring or anything needed to create a meal.   This skill will help you avoid having a terrible accident in the kitchen as you learn the three C's to kitchen safety before you start to cook to be germ and burn free.   You can say: ""Alexa, open Kitchen Safety"" ""Alexa, start Kitchen Safety"" Please leave a 5-star review if you love this skill.  For every five 5-star rating, we will update the skillset with more ways to avoid germs and burns.  Your 5-star reviews encourage us to keep making more great skills, thanks!"
Spare Parts (Demonstrating Creativity),5 out of 5,3,https://www.amazon.com/SayKid-Spare-Parts/dp/B07QNVDQ2C/ref=sr_1_2229?dchild=1&qid=1624660809&s=alexa-skills&sr=1-2229,"Spare Parts is designed to help kids build a variety of cognitive (e.g., critical thinking, working memory, etc.) and non-cognitive (e.g., persistence, creativity, etc.) skills in a fun, engaging way. Our robot has a few broken / missing parts such as a Memory Card, Processor, Battery, Password, Speaker, GPS module, etc. and children must use different skills to solve them . About SayKid For more screen-less, play-based learning, search ""SayKid"" on the Alexa Skill Store. By combining voice technology and real-world, tangible play, we help educators and families learn together in a safe, natural, and engaging way - without screens! If you found the skill helpful, we greatly appreciate reviews! Awards - SayKid wins Grand Prize in the 2020 Alexa EdTech Competition  - Harvard names SayKid a Finalist in the Saul Zaentz Early Education Competition - SayKid wins MN Cup ""Moonshot"" Prize at US Bank Stadium"
King Minister Thief Police - Popular indoor game,No Rating,0,https://www.amazon.com/King-Minister-Thief-Police-Popular/dp/B07S4BFHJP/ref=sr_1_2143?dchild=1&qid=1624660799&s=alexa-skills&sr=1-2143,"The game begins with making 4 chits namely Raja or king (1000 points) , Mantri or minister (800 points) , Chor or thief ( 0 points) and Sipahi or police (500 points). Each chit is randomly picked by alexa against the 4 players.Alexa discloses the raja or king and sipahi or police. The sipahi or police, then has to identify the ‘Chor’ or the thief, from the other 2 remaining players. If the sipahi or police, guesses correctly then the points are retained or else he/she surrenders them to the Chor or thief. Several rounds of this game are played before counting the points. The player with the highest score wins the game. The default winner is the player who reaches 10000 points first. The game helps develop cognitive thinking by requiring deductive reasoning. This entertaining game can be learned quickly and is a tool to make new friends. This game provides a platform for social interaction and enhances communication skills. Keywords - Raja Mantri Chor Sipahi, King, Minister, Thief, Police, indoor, game, four player game, cognitive thinking, social, friends, enhances communication skill, kids, adult, Raja Mantri Chor Sipahi, King, Minister, Thief, Police, indoor, game, four player game, cognitive thinking, social, friends, enhances communication skill, kids, adult, Raja Mantri Chor Sipahi, King, Minister, Thief, Police, indoor, game, four player game, cognitive thinking, social, friends, enhances communication skill, kids, adult, Raja Mantri Chor Sipahi, King, Minister, Thief, Police, indoor, game, four player game, cognitive thinking, social, friends, enhances communication skill, kids, adult, Raja Mantri Chor Sipahi, King, Minister, Thief, Police, indoor, game, four player game, cognitive thinking, social, friends, enhances communication skill, kids, adult"
Kids Fortunes,3.7 out of 5,11,https://www.amazon.com/abcdefghijklmnopqrstuv-Kids-Fortunes/dp/B07SRB4Z4G/ref=sr_1_2103?dchild=1&qid=1624660796&s=alexa-skills&sr=1-2103,Ask Alexa to compliment your favorite people (or even yourself!) and she will choose from a list of compliments. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer.
Kids Affirmation,4.4 out of 5,6,https://www.amazon.com/Get-Found-Studios-Kids-Affirmation/dp/B077BQMP3Y/ref=sr_1_3588?dchild=1&qid=1624660956&s=alexa-skills&sr=1-3588,"Just like we eat healthy food to help our bodies grow healthy, we use affirmations to help our minds so that we can grow up strong and feel confident. We can use positive affirmations to help reduce negative self-talk, and remind us of who we are. Although seemingly simple, taking the time to hear and think these affirmations helps us keep the right frame of mind and be successful. The affirmations are geared toward younger audiences."
my new compliments,No Rating,0,https://www.amazon.com/benji-kaplan-my-new-compliments/dp/B08QS267FC/ref=sr_1_448?dchild=1&qid=1624660614&s=alexa-skills&sr=1-448,Ask Alexa to compliment your favorite people (or even yourself!) and she will choose from a list of compliments. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer.
happy birthday in many languages,No Rating,0,https://www.amazon.com/happy-birthday-in-many-languages/dp/B07CQQWWRT/ref=sr_1_3092?dchild=1&qid=1624660902&s=alexa-skills&sr=1-3092,"Enable alexa skill ""Birthday wisher"" and wish your friends and family in different languages like Hindi, Tamil, Punjabi, Bhojpuri, English. You can ask ""Alexa ask birthday wisher, wish shashank in Bhojpuri"" and place a phone call or video call to enjoy the birthday wish with your friend. Many more languages to be added soon. Watch out the space.Alexa, open birthday wisher"
Chit Chat,3.7 out of 5,9,https://www.amazon.com/Appy-Sloth-Inc-Chit-chat/dp/B078ZLMZRB/ref=sr_1_3231?dchild=1&qid=1624660916&s=alexa-skills&sr=1-3231,Not sure what to talk about on your road trip or around the dinner table? Let Chit Chat help by posing questions that generate some pretty interesting--and sometimes hilarious--responses.
Classchat,No Rating,0,https://www.amazon.com/GRC-Classchat/dp/B078X3KCDH/ref=sr_1_3306?dchild=1&qid=1624660925&s=alexa-skills&sr=1-3306,"This skill is was created with the goal in mind of aiding teachers of young students in teaching listening skills through the use of the ""turn and talk"" method, which is described as follows. The teacher begins by pairing each student up. Each child then turns to their partner, and then the teacher provides each student with a question. Each student then takes a turn answering the question. This method is implemented by providing the students with a random question, a timer so each student knows when their time to talk is done, and also introduces a series of verbal cues that a teacher would introduce to her students prior to use that help to keep children on task. Using the skill is fairly simple. To start the skill, say something to the effect of ""Alexa, ask Classchat to give us a question"", and Alexa will begin by saying, ""Okay everyone, 1, 2, 3, knee to knee!"" This is one of the aforementioned verbal cues, and is the ""turn"" part of ""turn and talk"". At this point, each child would be asked to face their partner. Alexa will then ask a random question from the question database provided. After Alexa asks the question, an internal timer will begin, and this is where a teacher would direct her students to begin to answer the question to one another. The default time is set to 3 minutes, and Alexa will announce when time is halfway finished so the other partner can begin to speak. Once time is up, Alexa will say ""3, 2, 1, talking is done!"", which is another verbal cue meant to return the attention to the teacher. It will then ask the kids to give a ""thumbs up"" if they demonstrated a key communication skill, such as making good eye contact. You can ask Alexa to provide a question that is more focused on a specific topic by saying something like ""ask Classchat to give us a question about respect"". The different topics you can currently choose from are: reading, our strengths, each other, respect, and school. You can also adjust the time allotted for the question by saying something like ""ask Classchat for question for 2 minutes"". A number of different phrasings have been included in the intent schema in order to provide for many different teaching scenarios."
My Wife's Compliments,No Rating,0,https://www.amazon.com/ALESSANDRO-STANO-My-Wifes-Compliments/dp/B08NCNP1GK/ref=sr_1_516?dchild=1&qid=1624660623&s=alexa-skills&sr=1-516,Ask Alexa to compliment your favorite people (or even yourself!) and she will choose from a list of compliments. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer.
