skill_name,skill_link,skill_description
The Powers Family,https://www.amazon.com/Hachette-Book-Group-Powers-Family/dp/B08LDQW9XC?dchild=1,"Join Peter Powers and his super powered family, fighting crime in Boulder City! Grow your own set of super powers and face-off against villains from the Peter Powers universe."
Halloween Trick or Treating Mystery,https://www.amazon.com/Halloween-Trick-or-Treating-Mystery/dp/B08M3M289V,Go on a virtual trick-or-treating adventure with Alexa. Travel to Candy Hollow to solve a Halloween mystery - all while knocking on doors and interacting with a fun cast of characters. Feel free to wear your costumes and don’t forget to grab some candy!  This skill is targeted towards children in elementary school.
Disney Stories,https://www.amazon.com/Disney-Stories/dp/B07BB4WWB3,"Disney Stories connects kids to beloved Disney and Pixar stories. Audio storytelling comes to life with magical read aloud narration, music, and sound effects. Children can discover stories on their own or you can enjoy reading adventures together as a family.  The first four stories are available to everyone:  1.The Lion King: A Day Without Pumbaa 2.Monsters, Inc.: Boo on the Loose 3.Disney Princess: Cinderella's Best Ever Creations 4.Pop Star Minnie You can unlock more stories by purchasing the Pack of 50 Disney Stories. After enabling this skill, you can say, “Alexa, ask Disney Stories what stories are available?” All the stories are available through Freetime Unlimited subscriptions.   Stories Available in the Pack of 50 Disney Stories: 1.101 Dalmatians 2.Aladdin 3.Beauty and the Beast 4.Big Hero 6 5.Brave 6.Cars 7.Christopher Robin: A Boy, A Bear, A Balloon 8.Coco 9.Disney Fairies: The Pirate Fairy - Adventure at Skull Rock 10.Disney Princess: Ariel's Dolphin Adventure 11.Disney Princess: Cinderella 12.Disney Princess: Pocahontas - A Little Mischief 13.Disney Princess: Snow White and the Magic of Friendship 14.Disney Princess: Tangled 15.Disney Villains: Cruella De Vil 16.Doc McStuffins: Leilani's Luau 17.Dumbo: Happy to Help 18.Finding Dory 19.Finding Nemo 20.Frozen 21.Frozen Fever 22.Incredibles 2 23.Inside Out: An Imaginary Friend 24.Mickey and Friends: Mickey’s Spooky Night 25.Mickey and the Roadster Racers: Race for the Rigatoni Ribbon 26.Mickey Mouse Club House: A Goofy Fairy Tale 27.Minnie: Year-Round Fun 28.Minnie's Bow-Toons: Trouble Times Two 29.Moana 30.Monsters, Inc. 31.Mulan 32.Peter Pan 33.Pinocchio 34.Puppy Dog Pals: Hawaii Pug-O 35.Ralph Breaks the Internet 36.Ratatouille 37.Sleeping Beauty 38.Sofia the First: Me and Our Mom 39.The Incredibles 40.The Jungle Book 41.The Lion Guard: The Return of the Roar 42.The Lion King 43.The Little Mermaid 44.The Princess and the Frog 45.Toy Story 46.Toy Story 2 47.Up 48.Vampirina: Scare B&B 49.Wreck-It Ralph 50.Zootopia  Copyright ©2018 Disney  Copyright ©2018 Disney/Pixar Privacy Policy:  https://privacy.thewaltdisneycompany.com/en/ Children’s Online Privacy Policy: https://privacy.thewaltdisneycompany.com/en/for-parents/childrens-online-privacy-policy/ Do Not Sell My Info: https://privacy.thewaltdisneycompany.com/en/dnsmi/ Terms of Use: https://disneytermsofuse.com/english/"
Mica's moon school,https://www.amazon.com/MediaCom-Micas-moon-school/dp/B082J36LQR,"MediaCom and Save the Children are celebrating the true and courageous stories of children around the world.  Our story stars actor, Dominic West as Mica. In Mica’s Moon School, children can choose the direction of the story as Mica the bear meets inspirational children on a journey to Earth.  Will you help join Mica to build a new school on The Moon? ------------------------------------------------------------------------ The children behind the stories The stories from this interactive Alexa Skills experience are all based off real-life stories from Save The Children: •Salah from South Sudan realised that there was nowhere for villagers to get a haircut, so started to offer haircuts himself. - Told by Moses  •After a typhoon hit a village in the Philippines a local boy there started to have fun again by learning to surf. - Told by Ashly  •The village that Munni from India lived in didn’t have a school, so she taught her friends how to read and write. - Told by Pinky  •Frasier from the UK wrote a story about being friends with a refugee - Told by Peter  •Abdullahi from Tanzania had no well in his village. So he built one. - Told by Jacob  •Faisal from Syria had to walk a long way to his new home. He finds joy in painting and especially bears! - Told by Salma ------------------------------------------------------------------------ Your feedback If you think we could improve this skill, then please email mediacomalexa@gmail.com with your feedback."
Lunnis de Leyenda,https://www.amazon.com/Corporaci%C3%B3n-RTVE-Legendary-Lunnis/dp/B07XTC65YM,"“Lunnis de Leyenda” es una skill interactiva en la que los niños y niñas vivirán junto a los Lunnis las maravillosas aventuras de personajes como Hércules, Velázquez o Marie Curiede la serie de Clan Internacional. A lo largo de la narración, los Lunnis pedirán ayuda a los niños y niñas para decidir qué debe hacer el protagonista de la leyenda en distintos momentos clave de su historia. ¿Cómo puede cruzar Aníbal el río? ¿Qué podría pintar Velázquez para impresionar al Rey?. Al escoger una de las opciones planteadas, la historia se desarrolla por nuevos y divertidos caminos que pueden llevar a una canción original de Lucrecia… o a volverlo a intentar para lograr un final feliz. De esta manera, cada leyenda puede jugarse de hasta 15 formas distintas, para aprender de forma activa la vida de algunos de los personajes más relevantes de la historia.“Lunnis de Leyenda”, se basa en la reconocida serie de televisión del canal ClanInternacional de RTVE. Lupita, Lucho, Lulila y Lublú hacen de anfitriones de 10 historias originales protagonizadas por Hércules, Cervantes, María Pita, Gara y Jonay, Aníbal, Quevedo, Concepción Arenal, Tambor del Bruc, Marie Curie y Velázquez."
Indian Marathi Kids: Stories and Rhymes,https://www.amazon.com/Indian-Marathi-Kids-Stories-Rhymes/dp/B08BC89X5R,"Hi Kids,  The wait is over. The Alexa skill consists of various Stories and Rhymes, especially for Marathi Speaking Kids. We hope you will love the Skill. From Ant and Dove to Old Granny, there are 700+ stories and rhymes in this skill. Panchatantra will take you to an adventurous ride by narrating stories. An example of mystic India, Panchatantra tales are the oldest surviving stories of mankind, surviving for centuries, from mouth to mouth, before they were documented. You will love the lucid pace of the stories, and they always make for great bedtime or storytelling sessions. Share them will all story lovers, and let them enjoy the light, enchanting life of the stories. These stories are converted from Sanskrit to Marathi with a mixture of local accents which helps the children to grasp the meaning and narration for listeners.  Steps for using the skill: Session 1: User: Alexa, open marathi kids Alexa: Starting Marathi Kids and stories - <audio> - You can say, play the stories, to begin. User: Play the stories User: begin Alexa: This is Episode <number> <Alexa completes the story or user interruption> User: Alexa, next User: Alexa, stop User: Alexa, next / previous User: Alexa, resume User: Alexa, start over User: Yes/No Session 2: User: Alexa, open Marathi Kids Alexa: <audio> You were listening to Episode <number>, Would you like to resume? User: No Alexa: <Alexa starts over to the first episode and you can ask Alexa to step forward by saying Alexa, next> You are listening to the Marathi stories. You can say, Next or Previous to navigate through the playlist. At any time, you can say Pause to pause the audio and Resume to resume. Session 3: User: Help Alexa: You are listening to Marathi kids. You can say, Next or Previous to navigate through the playlist. At any time, you can say Pause to pause the audio and Resume to resume. The skill memorizes your last activity and continues from the last time when you used the Marathi Kids Stories. Keep loving Alexa and Keyring Corp. All the Stories are presented in Marathi, which makes this skill only for Marathi speaking or related language understanding users. We hope you all like the Skill. We have also released various Alexa skills for stories in regional languages in Marathi, Kannada, Telegu, and Bangla, Tamil  For all users in India and the rest parts of the world, the skill responses in Marathi and Hindi audio.  ---------------------------------------------------------------------------------------------------------------------- Disclaimer ---------------------------------------------------------------------------------------------------------------------- This “Marathi Kids stories and rhymes” Alexa skill is intended for fun and entertainment purposes only. It contains audios in Indian local language ‘Marathi’. Users of this skill are fully aware of the local language and accepted to play the stories with their own knowledge and experience."
Lucky Charms Magical Mission,https://www.amazon.com/General-Mills-Charms-Magical-Mission/dp/B08FTGHLFH,"""Lucky the Leprechaun needs your help for a Magical Mission! Grab your kids and join him on an adventure to bring back the magic. Go through his magic portal to the 8 charm lands filled with new friends that can’t wait to meet you and Lucky! You’ll all work together to restore the magic. Use your imagination because magic is all around us. You just have to look for it! To get started, simply say, “Alexa, open Lucky Charms Magical Mission.” To start over at any point, say, “Alexa, start over.” To quit, just say, “Alexa, quit” anytime during the story. If you need to leave in the middle, you can say, “Alexa, pause” to pick back up where you left off when you return. Lucky Charms Magical Mission is for families and kids ages 6+."""
Indian Telugu Kids - Kids Stories and Rhymes,https://www.amazon.com/Indian-Telugu-Kids-Stories-Rhymes/dp/B08JZ9V3RT,"Hi Kids, The wait is over. The Alexa skill consists of various Stories and Rhymes, especially for Telugu Speaking Kids. We hope you will love the Skill. From Ant and Dove to Old Granny, there are 700+ stories and rhymes in this skill. Panchatantra will take you to an adventurous ride by narrating stories. An example of mystic India, Panchatantra tales are the oldest surviving stories of mankind, surviving for centuries, from mouth to mouth, before they were documented. You will love the lucid pace of the stories, and they always make for great bedtime or storytelling sessions. These stories are converted from Sanskrit to Telugu with a mixture of local accents which helps the children to grasp the meaning and narration for listeners. Steps for using the skill: Session 1: User: Alexa, open Telugu kids Alexa: Starting Telugu Kids and stories - <audio> - You can say, play the stories, to begin. User: Play the stories User: begin Alexa: This is Episode <number> <Alexa completes the story or user interruption> User: Alexa, next User: Alexa, stop User: Alexa, next / previous User: Alexa, resume User: Alexa, start over User: Yes/No Session 2: User: Alexa, open Telugu kids Alexa: <audio> You were listening to Episode <number>, Would you like to resume? User: No Alexa: <Alexa starts over to the first episode and you can ask Alexa to step forward by saying Alexa, next> You are listening to the Telugu stories. You can say, Next or Previous to navigate through the playlist. At any time, you can say Pause to pause the audio and Resume to resume. Session 3: User: Help Alexa: You are listening to Telugu stories. You can say, Next or Previous to navigate through the playlist. At any time, you can say Pause to pause the audio and Resume to resume. The skill memorizes your last activity and continues from the last time when you used the Telugu Kids Stories. All the Stories are presented in Telugu, which makes this skill only for Telugu speaking or related language understanding users. We hope you all like the Skill. For all users in India and the rest parts of the world, the skill responses in Hindi and Telugu audio. ---------------------------------------------------------------------------------------------------------------------- Disclaimer ---------------------------------------------------------------------------------------------------------------------- This “Telugu Kids stories and rhymes” Alexa skill is intended for fun and entertainment purposes only. It contains audios in Indian local language ‘Telugu’. Users of this skill are fully aware of the local language and accepted to play the stories with their own knowledge and experience. Thank You!"
Star Wars: Choose Your Destiny,https://www.amazon.com/Star-Wars-Choose-Your-Destiny/dp/B07LCZGLD7?dchild=1,"Star Wars: Choose Your Destiny – A Han and Chewie Adventure takes place pre-Episode 4, when Han and Chewie were running smuggling missions. In this adventure, they’re working for Jabba the Hutt. They run into trouble with the Empire as well as some shady characters on a jungle planet. Along the way, you’ll help them make choices. Will they rescue the hostages? Dump the cargo? Or do whatever it takes to save their skins? You can unlock more adventures by purchasing the Pack of 3 Star Wars: Choose Your Destiny adventures. All the adventures are available through Freetime Unlimited subscriptions. The Pack of 3 Star Wars: Choose Your Destiny adventures includes, “A Luke and Leia Adventure,” “A Smuggler Mission,” and “A Podracer Mission.” Copyright © & TM Lucasfilm Ltd. Privacy Policy:  https://privacy.thewaltdisneycompany.com/en/ Children’s Online Privacy Policy: https://privacy.thewaltdisneycompany.com/en/for-parents/childrens-online-privacy-policy/ Do Not Sell My Info: https://privacy.thewaltdisneycompany.com/en/dnsmi/ Terms of Use: https://disneytermsofuse.com/english/"
You Choose Building America,https://www.amazon.com/Capstone-You-Choose-Building-America/dp/B07L9LYGNX,"YOU CHOOSE: BUILDING AMERICA is a You Choose bundle from Capstone, powered by Earplay. This bundle features four action-packed, interactive stories, including Ellis Island, The California Gold Rush, Building the Golden Gate Bridge, and Building the Transcontinental Railroad. Jump into an amazing time in the past, where great American structures and institutions are being built! With simple voice commands, you’ll decide who to be, where to go, and what to do. With multiple endings, this You Choose bundle is a truly dynamic experience. The first story, Ellis Island is available to all users with the additional stories available with purchase or FreeTime Unlimited subscription."
