skill_name,skill_rating,skill_reviews,skill_link,skill_description
None,No Rating,,https://www.amazon.com/str8up8up-Dads-Story/dp/B07T69C2VL/ref=sr_1_2074?dchild=1&qid=1624660792&s=alexa-skills&sr=1-2074,
None,No Rating,,https://www.amazon.com/Create-Prayer-Pillow-Kitchen-Safety/dp/B07D1Y2JS9/ref=sr_1_3069?dchild=1&qid=1624660899&s=alexa-skills&sr=1-3069,
None,No Rating,,https://www.amazon.com/SayKid-Spare-Parts/dp/B07QNVDQ2C/ref=sr_1_2229?dchild=1&qid=1624660809&s=alexa-skills&sr=1-2229,
None,No Rating,,https://www.amazon.com/Get-Found-Studios-Kids-Affirmation/dp/B077BQMP3Y/ref=sr_1_3588?dchild=1&qid=1624660956&s=alexa-skills&sr=1-3588,
None,No Rating,,https://www.amazon.com/Ask-My-Kid-Learning-AskMyClass/dp/B07T3R6XFN/ref=sr_1_2089?dchild=1&qid=1624660794&s=alexa-skills&sr=1-2089,
None,No Rating,,https://www.amazon.com/abcdefghijklmnopqrstuv-Kids-Fortunes/dp/B07SRB4Z4G/ref=sr_1_2103?dchild=1&qid=1624660796&s=alexa-skills&sr=1-2103,
None,No Rating,,https://www.amazon.com/Melissa-Dads-Story/dp/B07T69R6G7/ref=sr_1_2072?dchild=1&qid=1624660792&s=alexa-skills&sr=1-2072,
None,No Rating,,https://www.amazon.com/Supermann-Daniel-learns-sharing/dp/B07T41GWYG/ref=sr_1_2088?dchild=1&qid=1624660794&s=alexa-skills&sr=1-2088,
None,No Rating,,https://www.amazon.com/happy-birthday-in-many-languages/dp/B07CQQWWRT/ref=sr_1_3092?dchild=1&qid=1624660902&s=alexa-skills&sr=1-3092,
None,No Rating,,https://www.amazon.com/benji-kaplan-my-new-compliments/dp/B08QS267FC/ref=sr_1_448?dchild=1&qid=1624660614&s=alexa-skills&sr=1-448,
None,No Rating,,https://www.amazon.com/GRC-Classchat/dp/B078X3KCDH/ref=sr_1_3306?dchild=1&qid=1624660925&s=alexa-skills&sr=1-3306,
None,No Rating,,https://www.amazon.com/Don-Duncan-Birthday-Trivia/dp/B08LPM5M77/ref=sr_1_571?dchild=1&qid=1624660628&s=alexa-skills&sr=1-571,
None,No Rating,,https://www.amazon.com/Social-Stories-Creating-a-Story/dp/B087TKX7RJ/ref=sr_1_1010?dchild=1&qid=1624660679&s=alexa-skills&sr=1-1010,
None,No Rating,,https://www.amazon.com/ALESSANDRO-STANO-My-Wifes-Compliments/dp/B08NCNP1GK/ref=sr_1_516?dchild=1&qid=1624660623&s=alexa-skills&sr=1-516,
None,No Rating,,https://www.amazon.com/Appy-Sloth-Inc-Chit-chat/dp/B078ZLMZRB/ref=sr_1_3231?dchild=1&qid=1624660916&s=alexa-skills&sr=1-3231,
None,No Rating,,https://www.amazon.com/Daphne-Mallory-Autism-Help/dp/B078RG49WP/ref=sr_1_3408?dchild=1&qid=1624660935&s=alexa-skills&sr=1-3408,
None,No Rating,,https://www.amazon.com/Mom-My-Name-Picker/dp/B092DNPGKX/ref=sr_1_263?dchild=1&qid=1624660594&s=alexa-skills&sr=1-263,
None,No Rating,,https://www.amazon.com/McLemore-Worlds-Best-Dad/dp/B08JS26M4H/ref=sr_1_630?dchild=1&qid=1624660636&s=alexa-skills&sr=1-630,
None,No Rating,,https://www.amazon.com/Hoden-Abdi-Yusuf-Keep-Calm/dp/B07YD5LXPJ/ref=sr_1_1823?dchild=1&qid=1624660766&s=alexa-skills&sr=1-1823,
None,No Rating,,https://www.amazon.com/Loud-River-Kid-Confident/dp/B07MXZ3349/ref=sr_1_2424?dchild=1&qid=1624660829&s=alexa-skills&sr=1-2424,
None,No Rating,,https://www.amazon.com/VOGO-Voice-Kids-Decisions/dp/B08731CK5X/ref=sr_1_1052?dchild=1&qid=1624660682&s=alexa-skills&sr=1-1052,
None,No Rating,,https://www.amazon.com/CS-Im-back-home/dp/B07NP6W764/ref=sr_1_2389?dchild=1&qid=1624660826&s=alexa-skills&sr=1-2389,
None,No Rating,,https://www.amazon.com/Sara-Carol-Chen-Simon-Guo/dp/B078W3FKR9/ref=sr_1_3341?dchild=1&qid=1624660929&s=alexa-skills&sr=1-3341,
None,No Rating,,https://www.amazon.com/Tdurgen-Make-me-smile/dp/B07ZNKF2PH/ref=sr_1_1700?dchild=1&qid=1624660753&s=alexa-skills&sr=1-1700,
None,No Rating,,https://www.amazon.com/Loop-Science-Kid-Commander/dp/B072MNK9WL/ref=sr_1_3714?dchild=1&qid=1624660970&s=alexa-skills&sr=1-3714,
None,No Rating,,https://www.amazon.com/James-Worlds-Best-Mom/dp/B08FXMR4PD/ref=sr_1_703?dchild=1&qid=1624660644&s=alexa-skills&sr=1-703,
None,No Rating,,https://www.amazon.com/SayKid-Managing-Emotions-Big-Feelings/dp/B0852HC4VC/ref=sr_1_1208?dchild=1&qid=1624660700&s=alexa-skills&sr=1-1208,
None,No Rating,,https://www.amazon.com/KUSH-SHAH-Elementary-Greeting/dp/B0814V87LM/ref=sr_1_1661?dchild=1&qid=1624660748&s=alexa-skills&sr=1-1661,
None,No Rating,,https://www.amazon.com/John-Nolen-Calm-Down/dp/B084Q1DCYY/ref=sr_1_1245?dchild=1&qid=1624660703&s=alexa-skills&sr=1-1245,
None,No Rating,,https://www.amazon.com/Nickelodeon-The-Loud-House-Challenge/dp/B079Q89NRS/ref=sr_1_72?dchild=1&qid=1624660572&s=alexa-skills&sr=1-72,
None,No Rating,,https://www.amazon.com/Hannah-White-Doubles-Trouble-Friends/dp/B0834P9CNY/ref=sr_1_1432?dchild=1&qid=1624660724&s=alexa-skills&sr=1-1432,
None,No Rating,,https://www.amazon.com/RURx77-Say-Please/dp/B07DFCXXM5/ref=sr_1_3019?dchild=1&qid=1624660894&s=alexa-skills&sr=1-3019,
None,No Rating,,https://www.amazon.com/Tiszus-Worlds-Best-Mom/dp/B08SCT31HJ/ref=sr_1_384?dchild=1&qid=1624660607&s=alexa-skills&sr=1-384,
None,No Rating,,https://www.amazon.com/Akaash-Singh-and-Baani-Kaurs/dp/B0879KJWBN/ref=sr_1_1044?dchild=1&qid=1624660682&s=alexa-skills&sr=1-1044,
None,No Rating,,https://www.amazon.com/Peninsula-Balvihar/dp/B08L6M6J4Q/ref=sr_1_599?dchild=1&qid=1624660632&s=alexa-skills&sr=1-599,
None,No Rating,,https://www.amazon.com/Chrissy-Whose-Turn/dp/B085T5WM4K/ref=sr_1_1158?dchild=1&qid=1624660694&s=alexa-skills&sr=1-1158,
None,No Rating,,https://www.amazon.com/Paige-Wilbanks-Compliment-me/dp/B07PKT1P25/ref=sr_1_2314?dchild=1&qid=1624660817&s=alexa-skills&sr=1-2314,
None,No Rating,,https://www.amazon.com/Mission-Life-Success-LLC-Affirmations/dp/B07N7Z8BH9/ref=sr_1_2416?dchild=1&qid=1624660828&s=alexa-skills&sr=1-2416,
None,No Rating,,https://www.amazon.com/Good-Table-Manners-Made-Easy/dp/B078ZKQWCQ/ref=sr_1_3232?dchild=1&qid=1624660916&s=alexa-skills&sr=1-3232,
None,No Rating,,https://www.amazon.com/Eesh-Chilukalapalli-Programable-Personal-Chatbot/dp/B078XMTYKM/ref=sr_1_3249?dchild=1&qid=1624660920&s=alexa-skills&sr=1-3249,
None,No Rating,,https://www.amazon.com/Sesame-Workshop-Esme-Roy/dp/B07JGLGQSX/ref=sr_1_2721?dchild=1&qid=1624660861&s=alexa-skills&sr=1-2721,
None,No Rating,,https://www.amazon.com/Ben-Clarke-My-Compliments/dp/B07PCP83M6/ref=sr_1_2327?dchild=1&qid=1624660819&s=alexa-skills&sr=1-2327,
None,No Rating,,https://www.amazon.com/Vishwajeet-Raj-Mr-White/dp/B07VCL7NDZ/ref=sr_1_2002?dchild=1&qid=1624660786&s=alexa-skills&sr=1-2002,
King Minister Thief Police - Popular indoor game,No Rating,,https://www.amazon.com/King-Minister-Thief-Police-Popular/dp/B07S4BFHJP/ref=sr_1_2143?dchild=1&qid=1624660799&s=alexa-skills&sr=1-2143,"The game begins with making 4 chits namely Raja or king (1000 points) , Mantri or minister (800 points) , Chor or thief ( 0 points) and Sipahi or police (500 points). Each chit is randomly picked by alexa against the 4 players.Alexa discloses the raja or king and sipahi or police. The sipahi or police, then has to identify the ‘Chor’ or the thief, from the other 2 remaining players. If the sipahi or police, guesses correctly then the points are retained or else he/she surrenders them to the Chor or thief. Several rounds of this game are played before counting the points. The player with the highest score wins the game. The default winner is the player who reaches 10000 points first. The game helps develop cognitive thinking by requiring deductive reasoning. This entertaining game can be learned quickly and is a tool to make new friends. This game provides a platform for social interaction and enhances communication skills. Keywords - Raja Mantri Chor Sipahi, King, Minister, Thief, Police, indoor, game, four player game, cognitive thinking, social, friends, enhances communication skill, kids, adult, Raja Mantri Chor Sipahi, King, Minister, Thief, Police, indoor, game, four player game, cognitive thinking, social, friends, enhances communication skill, kids, adult, Raja Mantri Chor Sipahi, King, Minister, Thief, Police, indoor, game, four player game, cognitive thinking, social, friends, enhances communication skill, kids, adult, Raja Mantri Chor Sipahi, King, Minister, Thief, Police, indoor, game, four player game, cognitive thinking, social, friends, enhances communication skill, kids, adult, Raja Mantri Chor Sipahi, King, Minister, Thief, Police, indoor, game, four player game, cognitive thinking, social, friends, enhances communication skill, kids, adult"
